Threshold,Precision,Recall,Macro_F1
0.3,0.5147964250248263,1.0,0.33984528648223417
0.31,0.5147964250248263,1.0,0.33984528648223417
0.32,0.5147964250248263,1.0,0.33984528648223417
0.33,0.5147964250248263,1.0,0.33984528648223417
0.34,0.5147964250248263,1.0,0.33984528648223417
0.35000000000000003,0.5148986889153755,1.0,0.3402990158141907
0.36000000000000004,0.5151093439363817,0.9996141975308642,0.34157101133114837
0.37000000000000005,0.5151394422310757,0.9976851851851852,0.3433882606667473
0.38000000000000006,0.5151636073423783,0.996141975308642,0.3448298223541373
0.39000000000000007,0.5157598875727766,0.9911265432098766,0.35164637813626715
0.4000000000000001,0.5169971671388102,0.9857253086419753,0.3612112995220824
0.4100000000000001,0.5191155197354825,0.9691358024691358,0.3819993759436634
0.4200000000000001,0.5227127319257837,0.9456018518518519,0.4101326315357156
0.4300000000000001,0.5265388046387154,0.9108796296296297,0.44054351401125225
0.4400000000000001,0.5282618935468676,0.8653549382716049,0.4641585027177769
0.4500000000000001,0.5323957810145655,0.8179012345679012,0.48867243819526196
0.46000000000000013,0.5390792291220556,0.7770061728395061,0.5109457276239036
0.47000000000000014,0.5437032777458309,0.7295524691358025,0.5255321252059308
0.48000000000000015,0.5468944099378882,0.6793981481481481,0.5340882164401602
0.49000000000000016,0.5478669801813907,0.6292438271604939,0.5365948685452034
0.5000000000000002,0.5562865497076024,0.5871913580246914,0.5448340052410066
0.5100000000000002,0.5581861958266453,0.5366512345679012,0.5427570920055305
0.5200000000000002,0.5603951504265828,0.48148148148148145,0.5377789283824592
0.5300000000000002,0.5717922606924644,0.4332561728395062,0.5370213357459008
0.5400000000000003,0.5700174317257408,0.3784722222222222,0.5232656815414906
0.5500000000000003,0.5769230769230769,0.31828703703703703,0.5090239463374719
0.5600000000000003,0.5880758807588076,0.2511574074074074,0.4878754769145419
0.5700000000000003,0.6107470511140236,0.17978395061728394,0.4584801914880159
0.5800000000000003,0.6161825726141079,0.11458333333333333,0.41937264643835886
0.5900000000000003,0.5923566878980892,0.07175925925925926,0.3871490011040136
0.6000000000000003,0.5783783783783784,0.04128086419753087,0.36281434819849107
0.6100000000000003,0.5573770491803278,0.026234567901234566,0.34982416511488773
0.6200000000000003,0.5425531914893617,0.019675925925925927,0.3440144273626178
0.6300000000000003,0.47619047619047616,0.011574074074074073,0.33631629274908476
0.6400000000000003,0.46296296296296297,0.009645061728395061,0.3346098616649725
0.6500000000000004,0.5454545454545454,0.009259259259259259,0.33503959782862075
0.6600000000000004,0.5714285714285714,0.007716049382716049,0.33382579575334653
0.6700000000000004,0.6521739130434783,0.005787037037037037,0.33236256288527855
0.6800000000000004,0.6,0.004629629629629629,0.3310892195888605
0.6900000000000004,0.6470588235294118,0.004243827160493827,0.33084799357065586
0.7000000000000004,0.6666666666666666,0.0030864197530864196,0.3297531502771602
