Threshold,Precision,Recall,Macro_F1
0.3,0.5160195204752811,0.9375481881264457,0.397979270817281
0.31,0.5149674620390455,0.9151888974556669,0.40783584821619245
0.32,0.5163384064458371,0.8893600616808018,0.4258921402853981
0.33,0.5175214666976097,0.8596761757902853,0.4428736582275964
0.34,0.5209739633558341,0.8330763299922899,0.4619032555126478
0.35000000000000003,0.5227329816628987,0.8022359290670779,0.47577894152475664
0.36000000000000004,0.524529302572262,0.7625289128758674,0.48964761007433893
0.37000000000000005,0.5255331088664422,0.7220508866615266,0.4994578507915444
0.38000000000000006,0.5262689225289403,0.6835003855050116,0.5063390950996107
0.39000000000000007,0.5269461077844312,0.6445643793369313,0.5113556516782258
0.4000000000000001,0.5321537938074175,0.6029298380878951,0.5202849118369741
0.4100000000000001,0.532648569332355,0.5597532767925983,0.5210557670238984
0.4200000000000001,0.5309876049580168,0.5119506553585197,0.5177677894159545
0.4300000000000001,0.5351374945438673,0.4726291441788743,0.5184164477300215
0.4400000000000001,0.5415266442630821,0.4348496530454896,0.5186209497581256
0.4500000000000001,0.5466666666666666,0.3951426368542791,0.5151732754096923
0.46000000000000013,0.5470588235294118,0.35851966075558983,0.5075465802185852
0.47000000000000014,0.5511551155115512,0.3218966846569005,0.500199309129209
0.48000000000000015,0.5497420781134856,0.28758673862760215,0.4893806797502988
0.49000000000000016,0.5502040816326531,0.25983037779491136,0.4802814492518227
0.5000000000000002,0.549165120593692,0.228218966846569,0.468172247173233
0.5100000000000002,0.5490605427974948,0.2027756360832691,0.45765292257522605
0.5200000000000002,0.5448028673835126,0.17579028527370855,0.444498977273297
0.5300000000000002,0.541029207232267,0.1499614494988435,0.4311013779675601
0.5400000000000003,0.5418641390205371,0.13222821896684656,0.42186622768417315
0.5500000000000003,0.5477941176470589,0.11488049344641481,0.41282106505723803
0.5600000000000003,0.5539112050739958,0.10100231303006939,0.4050453014561121
0.5700000000000003,0.5447761194029851,0.08442559753276793,0.393462631823705
0.5800000000000003,0.551622418879056,0.07208943716268311,0.3856283296465748
0.5900000000000003,0.5373665480427047,0.0582112567463377,0.3748529088583729
0.6000000000000003,0.5625,0.0520431765612953,0.3715853148209921
0.6100000000000003,0.5631067961165048,0.04471858134155744,0.36592283058658126
0.6200000000000003,0.5515151515151515,0.03508095605242868,0.3578436417486819
0.6300000000000003,0.5546875,0.027370855821125674,0.3516179788723983
0.6400000000000003,0.5686274509803921,0.02235929067077872,0.3476589056763739
0.6500000000000004,0.5294117647058824,0.013878180416345412,0.3397914421071326
0.6600000000000004,0.5,0.010023130300693909,0.3361983079711135
0.6700000000000004,0.48717948717948717,0.007324595219737857,0.3338230791160559
0.6800000000000004,0.5,0.005782575173477255,0.3325984708892738
0.6900000000000004,0.5,0.0050115651503469544,0.33193621840044973
0.7000000000000004,0.45,0.003469545104086353,0.3304224713756515
